organization_name,name,type,description,amount,level,field_id,location,deadline,success_rate,requirements,benefits,contact_email,contact_phone,website_url,status,created_at,updated_at,study_levels,fields_supported,eligible_programs,application_url,processing_time_weeks,applicant_count,rating,review_count,eligibility_requirements,benefits_json,selection_process,partner_universities
Ministry of Higher Education Malaysia,National Education Grant 11,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (11).,84901,diploma,1,Selangor,2026-08-25,39.58,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship11@example.edu.my,+603-79997381,https://www.scholarship11.org,active,2026-01-01T14:57:56.635752,,"{diploma,degree}","{4,5,12}","{55,34}",https://apply.scholarship11.org,11,247,4.49,101,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 867, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""written_test"", ""final_review""], ""duration_weeks"": 4, ""interview_required"": false}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Future Leaders Scholarship 12,Other,This scholarship supports students pursuing higher education with strong academic performance (12).,83574,diploma,3,Johor,2026-08-27,75.12,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship12@example.edu.my,+603-73762152,https://www.scholarship12.org,active,2026-01-01T14:57:56.635854,,"{foundation,diploma}","{6,2}",{88},https://apply.scholarship12.org,5,894,4.36,165,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 726, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""document_screening"", ""written_test"", ""final_review""], ""duration_weeks"": 7, ""interview_required"": false}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Innovation Talent Award 13,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (13).,40138,foundation,2,Johor,2026-07-10,55.14,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship13@example.edu.my,+603-79910817,https://www.scholarship13.org,active,2026-01-01T14:57:56.635910,,{foundation},"{7,6}","{34,94,63,90}",https://apply.scholarship13.org,6,735,4.49,180,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 1339, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""interview"", ""document_screening"", ""written_test""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}]"
International Education Council,Merit-Based Academic Scholarship 14,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (14).,79490,foundation,7,Penang,2026-02-20,58.26,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship14@example.edu.my,+603-76307805,https://www.scholarship14.org,active,2026-01-01T14:57:56.635955,,{foundation},"{8,1,6}","{35,66}",https://apply.scholarship14.org,4,707,4.46,197,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""written_test"", ""interview"", ""final_review""], ""duration_weeks"": 7, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Future Leaders Scholarship 15,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (15).,113826,diploma,2,Kuala Lumpur,2026-05-20,74.04,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship15@example.edu.my,+603-75098412,https://www.scholarship15.org,active,2026-01-01T14:57:56.635999,,"{diploma,degree}","{8,1,2}","{84,57,56,92,89}",https://apply.scholarship15.org,12,925,4.17,189,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 1561, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""written_test"", ""final_review"", ""interview""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,STEM Advancement Fund 16,Other,This scholarship supports students pursuing higher education with strong academic performance (16).,85937,diploma,10,Selangor,2026-04-20,65.88,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship16@example.edu.my,+603-74415796,https://www.scholarship16.org,active,2026-01-01T14:57:56.636043,,{diploma},"{11,1}","{47,9,66,80}",https://apply.scholarship16.org,4,767,4.61,123,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""final_review"", ""written_test"", ""interview"", ""document_screening""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}]"
International Education Council,Professional Studies Grant 17,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (17).,73844,foundation,7,Malaysia,2026-09-06,77.25,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship17@example.edu.my,+603-73500715,https://www.scholarship17.org,active,2026-01-01T14:57:56.636093,,"{foundation,diploma}",{2},"{18,51}",https://apply.scholarship17.org,11,971,4.44,179,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 1843, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""final_review"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Higher Education Support Scheme 18,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (18).,32814,foundation,4,Johor,2026-04-20,31.24,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship18@example.edu.my,+603-76573147,https://www.scholarship18.org,active,2026-01-01T14:57:56.636140,,"{foundation,diploma}","{2,3,8}","{34,57,63}",https://apply.scholarship18.org,4,135,4.62,70,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 1951, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""interview"", ""written_test""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Merit-Based Academic Scholarship 19,Other,This scholarship supports students pursuing higher education with strong academic performance (19).,40128,diploma,6,Malaysia,2026-05-09,78.34,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship19@example.edu.my,+603-75682940,https://www.scholarship19.org,active,2026-01-01T14:57:56.636189,,"{foundation,diploma}","{2,12}","{25,89,21}",https://apply.scholarship19.org,8,494,4.1,106,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 1576, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""final_review"", ""written_test"", ""document_screening"", ""interview""], ""duration_weeks"": 5, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,National Education Grant 20,Other,This scholarship supports students pursuing higher education with strong academic performance (20).,25747,degree,10,Johor,2026-09-10,60.31,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship20@example.edu.my,+603-79580255,https://www.scholarship20.org,active,2026-01-01T14:57:56.636233,,"{diploma,degree}",{8},"{19,94,2,76}",https://apply.scholarship20.org,11,697,3.57,200,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 1501, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""final_review"", ""written_test""], ""duration_weeks"": 3, ""interview_required"": false}","[{""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Higher Education Support Scheme 21,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (21).,119252,diploma,9,Kuala Lumpur,2026-04-04,63.34,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship21@example.edu.my,+603-76472441,https://www.scholarship21.org,active,2026-01-01T14:57:56.636277,,"{diploma,degree}","{11,10}","{72,30}",https://apply.scholarship21.org,4,724,3.46,44,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""written_test"", ""interview""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Merit-Based Academic Scholarship 22,Other,This scholarship supports students pursuing higher education with strong academic performance (22).,55883,diploma,5,Selangor,2026-07-14,55.56,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship22@example.edu.my,+603-73846949,https://www.scholarship22.org,active,2026-01-01T14:57:56.636326,,{diploma},"{3,10,12}","{60,75,21}",https://apply.scholarship22.org,4,839,3.76,176,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 918, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""written_test""], ""duration_weeks"": 6, ""interview_required"": false}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Community Impact Scholarship 23,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (23).,87138,degree,11,Johor,2026-08-31,54.72,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship23@example.edu.my,+603-75093379,https://www.scholarship23.org,active,2026-01-01T14:57:56.636382,,"{foundation,diploma,degree}","{8,9}","{65,18,57,61}",https://apply.scholarship23.org,8,688,3.8,163,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""interview"", ""written_test"", ""final_review"", ""document_screening""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Professional Studies Grant 24,Other,This scholarship supports students pursuing higher education with strong academic performance (24).,66254,degree,8,Penang,2026-07-12,51.34,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship24@example.edu.my,+603-78481188,https://www.scholarship24.org,active,2026-01-01T14:57:56.636445,,{degree},{1},"{39,5,36}",https://apply.scholarship24.org,5,158,4.75,99,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 1052, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""interview"", ""written_test""], ""duration_weeks"": 4, ""interview_required"": true}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
Private Education Foundation,Future Leaders Scholarship 25,Other,This scholarship supports students pursuing higher education with strong academic performance (25).,55316,diploma,6,Malaysia,2026-06-19,36.92,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship25@example.edu.my,+603-74879923,https://www.scholarship25.org,active,2026-01-01T14:57:56.636495,,"{foundation,diploma}","{9,4}","{14,83}",https://apply.scholarship25.org,5,767,4.37,154,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 1109, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""final_review"", ""written_test"", ""document_screening""], ""duration_weeks"": 2, ""interview_required"": false}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Community Impact Scholarship 26,Other,This scholarship supports students pursuing higher education with strong academic performance (26).,37324,foundation,12,Kuala Lumpur,2026-08-13,67.67,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship26@example.edu.my,+603-78030010,https://www.scholarship26.org,active,2026-01-01T14:57:56.636542,,{foundation},{10},{59},https://apply.scholarship26.org,7,832,4.87,169,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 1422, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""interview"", ""written_test""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
